,title,content,category
11,Vehicles in India to get 'Star Ratings' based on their crash tests: Gadkari,"Union Minister Nitin Gadkari on Friday said he has approved Bharat NCAP (New Car Assessment Program). Proposing a mechanism under this, Gadkari said automobiles in India will be given 'Star Ratings' based on their performance in crash tests. Bharat NCAP will serve as a consumer-centric platform, helping customers opt for safer cars, he added.",automobile
12,Ola Electric sees 32 high-level exits in 2 years as Head of Charging Network resigns,"The Senior Director and Business Head of Charging Network at Ola Electric Mobility has resigned from the company after joining in March 2021. Yashwant Kumar's exit comes days after the resignation of Ranjit Kondeshan who was the HR Director at Ola Electric. According to ET Auto, this is the 32nd high-level exit from the company in the last two years.",automobile
13,How will safety ratings for vehicles be decided under the Bharat NCAP?,"The government has proposed to introduce a new car safety assessment programme Bharat NCAP, under which ratings will be awarded to vehicles based upon their performance in crash tests. Bharat NCAP will evaluate the vehicle's adult occupant protection, child occupant protection and safety assist technologies. Based on the tests, vehicles will be awarded a rating from one to five stars.",automobile
14,"China's Great Wall Motors drops $1 bn India entry plan, reportedly fires staff","Chinese carmaker Great Wall Motors has abandoned its $1-billion plan to enter the Indian market. The development comes after the company failed to get the government's approval to acquire General Motors' Talegaon plant near Pune after waiting for two and a half years. The company has shut its India office and terminated its team of 8-10 employees, as per reports.",automobile
15,"Nikki Tamboli buys Mercedes Benz GLE worth ₹86 lakh, shares pics","'Bigg Boss 14' fame Nikki Tamboli recently purchased a new white Mercedes Benz GLE which is worth ₹86 lakh. Nikki took to social media on Monday to share pictures of the car as she posed along with her father, writing, ""For always lifting me up and never letting me down, I'm forever grateful. I'll always be your little girl.""",automobile
16,Mahindra may consider investing in an EV battery cell maker: CEO,"Mahindra and Mahindra may consider investing in the EV battery-cell space if it needed to secure future supplies, CEO Anish Shah said. ""Our intent is not to get into (manufacturing) batteries...There are people who do it...well,"" Shah stated. He added that Mahindra's deal with Volkswagen to source EV components will only meet its ""short to medium term"" battery needs.",automobile
17,China's BYD surpasses Tesla to become world's top-selling EV brand: Report,"Chinese automaker BYD has reportedly surpassed Elon Musk's Tesla to become the world's top-selling electronic vehicle (EV) brand in the first half of 2022. While BYD sold 641,000 EVs between January and June this year, the figure stood at 564,000 for Tesla, Financial Times reported. Tesla's supply and production chain was disrupted after China imposed lockdowns due to COVID-19.",automobile
18,"VW in a good position behind Tesla, set to narrow the gap: CEO Diess","Comparing Volkswagen to Tesla, CEO Herbert Diess has claimed that Volkswagen is in a good second position behind Tesla and is slowly closing the gap to its rival. In terms of electric vehicle sales, Volkswagen is expected to overtake Tesla by 2024, as per a Bloomberg Intelligence study. However, Tesla CEO Elon Musk said he doesn't agree with this projection.",automobile
19,"Volkswagen, partners to invest $20 billion to produce EV batteries","German automobile manufacturer Volkswagen said the company along with its partners will invest over $20 billion to produce electric vehicle (EV) batteries. This will result in the creation of 20,000 jobs and annual sales of above $20 billion by 2030, it added. The announcement was made at the groundbreaking ceremony of the company's first battery plant in Europe.",automobile
20,"Ford recalls 100,000 vehicles in US over potential fire hazard","Automobile manufacturer Ford has recalled 100,000 vehicles in the US over potential fire risks. The recall covers certain 2020-2022 units of Ford Escape, Maverick and Lincoln Corsair with hybrid engines that can catch fire in case of an engine failure, the company said. However, it added that the issue has caused no accidents or injuries so far.",automobile
21,"If inflation calms down, Tesla can lower car prices: Musk","Tesla CEO Elon Musk on Friday said that the electric car maker could lower prices for cars if inflation comes down. Responding to a user who asked him if Tesla had any plans to lower prices that it had raised amid the pandemic and supply chain woes, Musk replied, ""If inflation calms down, we can lower prices for cars.""",automobile
22,Fully agree that aim should be to reduce fire risk in EV & ICE: Ola CEO,"Ola CEO Bhavish Aggarwal in response to Autocar India Editor Hormazd Sorabjee saying firms should aim to reduce fire risk as much as possible in both ICE and EV, said, ""Fully agree."" ""Lithium [is] a tricky material and has fire risks,"" Sorabjee had said. Aggarwal had earlier responded to a Tata Nexon EV catching fire, saying, ""EV fires will happen.""",automobile
23,Hero MotoCorp gets permit to use 'Hero' trademark for its EVs,"A Delhi High Court-appointed arbitration panel has permitted Hero MotoCorp to manufacture and sell EVs under the trademark 'Hero'. It dismissed the application filed by Hero Electric for an interim injunction against Hero MotoCorp using the 'Hero' brand for EVs. The tribunal emphasised our ₹7,000-crore expenses on the brand building of Hero in the past 10 years, Hero MotoCorp said.",automobile
24,Tata Motors passenger vehicle range gets a price hike of 0.55%,"Tata Motors has raised the prices of its passenger vehicle range with immediate effect in order to partially offset the impact of rising input costs. The price hike is fixed at 0.55% and will be levied across the models from today. The firm has already hiked the prices of its commercial vehicle range by 1.5%-2.5% from July.
",automobile
